#NAME	CHROM	STRAND	TX_START	TX_END
RSC1A1	1	+	15659868	15661722
PLEKHM2	1	+	15684331	15734769
SLC25A34	1	+	15736404	15741396
TMEM82	1	+	15742421	15747982
FBLIM1	1	+	15758418	15786594
UQCRHL	1	-	15807168	15809348
SPEN	1	+	15847863	15940460
ZBTB17	1	-	15941868	15976126
C1orf64	1	+	16004235	16008807
HSPB7	1	-	16014027	16018790
CLCNKA	1	+	16022051	16034050
CLCNKB	1	+	16043776	16057308
FAM131C	1	-	16057768	16073626
EPHA2	1	-	16124336	16156087
ARHGEF19	1	-	16198103	16212609
RSG1	1	-	16231699	16237162
FBXO42	1	-	16246838	16352454
SZRD1	1	+	16367082	16398142
SPATA21	1	-	16398642	16437424
NECAP2	1	+	16440671	16460078
NBPF1	1	-	16562318	16613487
FAM231A	1	+	16673002	16673512
FAM231C	1	-	16733950	16734461
CROCC	1	+	16921949	16972979
MFAP2	1	-	16974501	16978276
ATP13A2	1	-	16985957	17011772
SDHB	1	-	17018721	17054170
PADI2	1	-	17066760	17119435
PADI1	1	+	17205125	17246005
PADI3	1	+	17249097	17284233
PADI4	1	+	17308196	17364004
AC004824.2	1	-	17329011	17331796
PADI6	1	+	17372195	17401699
RCC2	1	-	17408675	17438561
ARHGEF10L	1	+	17539834	17697869
ACTL8	1	+	17822981	17827061
IGSF21	1	+	18107745	18378482
KLHDC7A	1	+	18480981	18486126
PAX7	1	+	18631520	18748866
TAS1R2	1	-	18839598	18859682
ALDH4A1	1	-	18871431	18902781
IFFO2	1	-	18904280	18956686
UBR4	1	-	19074505	19210276
EMC1	1	-	19215663	19251552
MRTO4	1	+	19251538	19260128
AKR7L	1	-	19267129	19274151
AKR7A3	1	-	19282557	19289250
AKR7A2	1	-	19303964	19312146
PQLC2	1	+	19312327	19329280
CAPZB	1	-	19339529	19485477
MINOS1-NBL1	1	+	19596978	19658056
MINOS1	1	+	19596989	19629820
NBL1	1	+	19647609	19658456
HTR6	1	+	19665286	19679562
TMCO4	1	-	19682212	19799917
RNF186	1	-	19814028	19815278
OTUD3	1	+	19882512	19912945
PLA2G2E	1	-	19920008	19923617
PLA2G2A	1	-	19975437	19980416
PLA2G5	1	+	20070207	20091168
PLA2G2D	1	-	20111938	20119557
PLA2G2F	1	+	20139325	20150386
PLA2G2C	1	-	20163990	20175194
UBXN10	1	+	20186084	20196048
VWA5B1	1	+	20290918	20354263
CAMK2N1	1	-	20482390	20486220
MUL1	1	-	20499447	20508161
FAM43B	1	+	20552438	20555010
CDA	1	+	20588947	20618908
PINK1	1	+	20633454	20651511
DDOST	1	-	20651776	20661507
KIF17	1	-	20664015	20718017
SH2D5	1	-	20721527	20732536
HP1BP3	1	-	20742660	20786688
EIF4G3	1	-	20806469	21050994
ECE1	1	-	21219858	21290489
NBPF3	1	+	21440312	21484900
ALPL	1	+	21551278	21578012
RAP1GAP	1	-	21596220	21669306
USP48	1	-	21678578	21783606
LDLRAD2	1	+	21812362	21823963
HSPG2	1	-	21822244	21937297
CELA3B	1	+	21977020	21989344
CELA3A	1	+	22001655	22012522
CDC42	1	+	22052667	22092946
WNT4	1	-	22117304	22142966
ZBTB40	1	+	22451866	22531154
EPHA8	1	+	22563563	22603594
C1QA	1	+	22637579	22639608
C1QC	1	+	22643652	22647887
C1QB	1	+	22653188	22661536
EPHB2	1	+	22710969	22914270
LACTBL1	1	-	22953042	22965338
C1orf234	1	-	23010833	23015850
KDM1A	1	+	23019447	23083689
LUZP1	1	-	23084029	23177808
HTR1D	1	-	23191894	23194729
HNRNPR	1	-	23309787	23344262
ZNF436	1	-	23359974	23368386
TCEA3	1	-	23381060	23424740
ASAP3	1	-	23428562	23484178
E2F2	1	-	23506429	23531220
ID3	1	-	23557917	23559794
MDS2	1	+	23627333	23640568
RPL11	1	+	23691778	23696425
TCEB3	1	+	23743471	23759893
PITHD1	1	+	23778404	23788232
LYPLA2	1	+	23790969	23795539
GALE	1	-	23795599	23800402
HMGCL	1	-	23801884	23825459
FUCA1	1	-	23845076	23868294
CNR2	1	-	23870525	23913362
PNRC2	1	+	23959827	23961880
SRSF10	1	-	23970363	23980319
MYOM3	1	-	24056036	24112175
IL22RA1	1	-	24119770	24143121
IFNLR1	1	-	24154156	24187261
GRHL3	1	+	24319321	24355318
STPG1	1	-	24357004	24413725
NIPAL3	1	+	24415793	24469307
RCAN3	1	+	24507593	24537019
NCMAP	1	+	24556110	24609325
SRRM1	1	+	24643011	24673267
CLIC4	1	+	24745356	24844324
RUNX3	1	-	24899517	24929877
SYF2	1	-	25222678	25232493
RSRP1	1	-	25242236	25247519
RHD	1	+	25272392	25330445
TMEM50A	1	+	25337916	25362361
RHCE	1	-	25362248	25420845
TMEM57	1	+	25430919	25500209
LDLRAP1	1	+	25543579	25568886
MAN1C1	1	+	25617467	25786207
SEPN1	1	+	25800175	25818224
MTFR1L	1	+	25820827	25832938
AUNIP	1	-	25834005	25859412
PAQR7	1	-	25861209	25871253
STMN1	1	-	25900740	25905128
PAFAH2	1	-	25960769	25998044
EXTL1	1	+	26021779	26036464
SLC30A2	1	-	26038021	26046133
TRIM63	1	-	26051303	26067633
PDIK1L	1	+	26111848	26124033
FAM110D	1	+	26159019	26163962
RP11-96L14.8	1	-	26164160	26168581
ZNF593	1	+	26169870	26172060
RP11-96L14.7	1	-	26170324	26171821
CNKSR1	1	+	26177402	26189886
CATSPER4	1	+	26190560	26202968
CEP85	1	+	26234201	26278808
SH3BGRL3	1	+	26279175	26281522
UBXN11	1	-	26282283	26318363
CD52	1	+	26317956	26320523
AIM1L	1	-	26321858	26354130
ZNF683	1	-	26361636	26372735
LIN28A	1	+	26410816	26429719
DHDDS	1	+	26432354	26471294
HMGN2	1	+	26472518	26475972
RPS6KA1	1	+	26529766	26575025
ARID1A	1	+	26696032	26782104
PIGV	1	+	26788194	26798393
ZDHHC18	1	+	26826709	26857601
SFN	1	+	26863137	26864457
GPN2	1	-	26876132	26890297
GPATCH3	1	-	26890488	26900466
NR0B2	1	-	26911488	26913966
NUDC	1	+	26921725	26946862
KDF1	1	-	26949561	26960406
TRNP1	1	+	26993706	27000898
FAM46B	1	-	27005019	27012836
AL137860.1	1	-	27064990	27065365
SLC9A1	1	-	27098814	27154910
WDTC1	1	+	27234667	27308244
TMEM222	1	+	27322159	27336400
SYTL1	1	+	27342021	27353932
MAP3K6	1	-	27355390	27366866
FCN3	1	-	27369111	27374824
CD164L2	1	-	27379175	27383303
GPR3	1	+	27392643	27395814
WASF2	1	-	27404225	27490158
AHDC1	1	-	27534302	27603632
FGR	1	-	27612668	27626569
IFI6	1	-	27666063	27672178
FAM76A	1	+	27725978	27763122
STX12	1	+	27773182	27824452
PPP1R8	1	+	27830777	27851676
AL109927.1	1	-	27850573	27850744
THEMIS2	1	+	27872567	27886673
RPA2	1	-	27891523	27914743
SMPDL3B	1	+	27934992	27959157
XKR8	1	+	27959461	27968096
EYA3	1	-	27970343	28088696
PTAFR	1	-	28149672	28193873
DNAJC8	1	-	28200277	28233025
ATPIF1	1	+	28236132	28238100
SESN2	1	+	28259526	28282491
MED18	1	+	28329054	28335964
PHACTR4	1	+	28438170	28497303
RCC1	1	+	28518135	28538983
TRNAU1AP	1	+	28553084	28578545
RAB42	1	+	28592199	28595443
TAF12	1	-	28603100	28643005
GMEB1	1	+	28668779	28714873
YTHDF2	1	+	28736758	28769775
OPRD1	1	+	28812141	28871267
EPB41	1	+	28893740	29120046
TMEM200B	1	-	29119433	29122501
SRSF4	1	-	29147742	29181987
MECR	1	-	29193816	29230932
PTPRU	1	+	29236515	29325661
MATN1	1	-	30711276	30723587
LAPTM5	1	-	30732468	30757820
SDC3	1	-	30873134	30908761
PUM1	1	-	30931505	31065698
NKAIN1	1	-	31179744	31239554
SNRNP40	1	-	31259567	31296770
ZCCHC17	1	+	31297007	31364936
FABP3	1	-	31365624	31373076
SERINC2	1	+	31413115	31434678
TINAGL1	1	+	31576534	31587686
HCRTR1	1	+	31619039	31627191
PEF1	1	-	31629861	31644887
COL16A1	1	-	31652246	31704319
ADGRB2	1	-	31727194	31757259
SPOCD1	1	-	31790423	31816051
PTP4A2	1	-	31906420	31938387
KHDRBS1	1	+	32013828	32043882
TMEM39B	1	+	32072901	32102861
KPNA6	1	+	32108037	32176568
TXLNA	1	+	32180064	32198285
CCDC28B	1	+	32200385	32205387
IQCC	1	+	32205660	32208687
DCDC2B	1	+	32209093	32216196
TMEM234	1	-	32216196	32222325
EIF3I	1	+	32222369	32231604
FAM167B	1	+	32247232	32248856
LCK	1	+	32274110	32286164
HDAC1	1	+	32292085	32333635
MARCKSL1	1	-	32333831	32336379
FAM229A	1	-	32361269	32362243
TSSK3	1	+	32362196	32364312
BSDC1	1	-	32365102	32394448
ZBTB8B	1	+	32465068	32496686
ZBTB8A	1	+	32539426	32605939
ZBTB8OS	1	-	32620819	32650584
RBBP4	1	+	32651147	32686211
SYNC	1	-	32680359	32703119
KIAA1522	1	+	32741884	32774970
YARS	1	-	32775238	32818153
S100PBP	1	+	32817554	32858879
FNDC5	1	-	32862267	32870813
HPCA	1	+	32886434	32894646
TMEM54	1	-	32894594	32901358
RNF19B	1	-	32936444	32964685
AK2	1	-	33013043	33036992
AZIN2	1	+	33081166	33120529
TRIM62	1	-	33145401	33181666
ZNF362	1	+	33270574	33300719
A3GALT2	1	-	33306765	33321098
PHC2	1	-	33323625	33375593
ZSCAN20	1	+	33472644	33496507
CSMD2	1	-	33513998	34165274
HMGB4	1	+	33860499	33864791
C1orf94	1	+	34177669	34219131
GJB5	1	+	34755046	34758512
GJB4	1	+	34759740	34763724
GJB3	1	+	34782277	34786369
GJA4	1	+	34792997	34795747
SMIM12	1	-	34855688	34859045
DLGAP3	1	-	34865435	34929585
ZMYM6NB	1	-	34981534	34985353
ZMYM6	1	-	34986979	35031968
ZMYM1	1	+	35079390	35115859
SFPQ	1	-	35182931	35193148
ZMYM4	1	+	35268966	35421944
KIAA0319L	1	-	35433489	35557413
NCDN	1	+	35557807	35566773
TFAP2E	1	+	35573369	35595328
PSMB2	1	-	35601583	35641844
C1orf216	1	-	35713874	35719472
CLSPN	1	-	35736404	35769928
AGO4	1	+	35808171	35857890
AGO1	1	+	35883208	35930528
AGO3	1	+	35931077	36072500
TEKT2	1	+	36084074	36088275
ADPRHL2	1	+	36088874	36093932
COL8A2	1	-	36095240	36100249
TRAPPC3	1	-	36136571	36149469
MAP7D1	1	+	36156201	36180840
THRAP3	1	+	36224431	36304148
SH3D21	1	+	36306392	36321347
EVA1B	1	-	36322030	36324154
STK40	1	-	36339623	36385896
LSM10	1	-	36393429	36397892
OSCP1	1	-	36417905	36450451
MRPS15	1	-	36455717	36464437
CSF3R	1	-	36466043	36479519
GRIK3	1	-	36795526	37034125
ZC3H12A	1	+	37474551	37484379
MEAF6	1	-	37492574	37514763
SNIP1	1	-	37534448	37554302
DNALI1	1	+	37556918	37566857
GNL2	1	-	37566815	37595921
RSPO1	1	-	37611811	37634616
C1orf109	1	-	37683110	37690504
CDCA8	1	+	37692480	37709713
EPHA10	1	-	37715973	37765066
MANEAL	1	+	37793801	37801133
YRDC	1	-	37802943	37808185
C1orf122	1	+	37808145	37809454
MTF1	1	-	37809566	37859620
INPP5B	1	-	37862084	37947051
SF3A3	1	-	37956974	37990921
FHL3	1	-	37996769	38005505
UTP11L	1	+	38012741	38024824
POU3F1	1	-	38043826	38046794
RRAGC	1	-	38838197	38859823
MYCBP	1	-	38862963	38874105
RP5-864K19.6	1	-	38864528	38881602
GJA9	1	-	38874550	38881587
RHBDL2	1	-	38886295	38926837
AKIRIN1	1	+	38991222	39006059
NDUFS5	1	+	39026317	39034636
MACF1	1	+	39084131	39486980
BMP8A	1	+	39491645	39525935
PABPC4	1	-	39560815	39576751
HEYL	1	-	39624152	39639945
NT5C1A	1	-	39659120	39672038
HPCAL4	1	-	39678647	39691689
PPIE	1	+	39738881	39753707
BMP8B	1	-	39757181	39788861
OXCT2	1	-	39769522	39771348
TRIT1	1	-	39841050	39883506
MYCL	1	-	39897226	39901882
MFSD2A	1	+	39955129	39969966
CAP1	1	+	40040760	40072271
PPT1	1	-	40072704	40097703
RLF	1	+	40161372	40240921
TMCO2	1	+	40247900	40251691
ZMPSTE24	1	+	40258106	40294184
COL9A2	1	-	40300486	40317294
SMAP2	1	+	40373696	40423326
ZFP69B	1	+	40450664	40463716
ZFP69	1	+	40477629	40496288
EXO5	1	+	40508760	40516556
ZNF684	1	+	40531560	40548169
RIMS3	1	-	40626213	40665445
NFYC	1	+	40735314	40771093
KCNQ4	1	+	40784011	40840452
CITED4	1	-	40861050	40862366
CTPS1	1	+	40983160	41011779
SLFNL1	1	-	41015596	41023237
SCMH1	1	-	41027201	41160898
FOXO6	1	+	41361921	41383590
EDN2	1	-	41478774	41484671
HIVEP3	1	-	41506367	41701001
GUCA2B	1	+	42153420	42155824
GUCA2A	1	-	42162690	42164718
FOXJ3	1	-	42176544	42335232
RIMKLA	1	+	42380805	42422578
ZMYND12	1	-	42430328	42456267
PPCS	1	+	42456558	42460414
CCDC30	1	+	42536484	42654340
PPIH	1	+	42658424	42676758
YBX1	1	+	42682426	42702349
CLDN19	1	-	42734994	42740140
P3H1	1	-	42746374	42767023
C1orf50	1	+	42767268	42775747
SVBP	1	-	42807055	42817252
ERMAP	1	+	42825559	42844989
ZNF691	1	+	42846627	42852477
SLC2A1	1	-	42925374	42959173
FAM183A	1	+	43147951	43156396
EBNA1BP2	1	-	43164183	43172260
CFAP57	1	+	43172329	43254355
TMEM125	1	+	43270024	43274002
C1orf210	1	-	43282660	43285617
TIE1	1	+	43300992	43323108
MPL	1	+	43337806	43352772
CDC20	1	+	43359012	43363203
ELOVL1	1	-	43363397	43367738
MED8	1	-	43383968	43389808
SZT2	1	+	43389968	43452633
HYI	1	-	43451002	43453989
PTPRF	1	+	43530889	43622357
KDM4A	1	+	43650157	43705515
ST3GAL3	1	+	43707546	43931159
ARTN	1	+	43933811	43937240
IPO13	1	+	43946938	43968022
DPH2	1	+	43970003	43973369
ATP6V0B	1	+	43974647	43978294
B4GALT2	1	+	43979876	43991168
CCDC24	1	+	43991607	43996528
SLC6A9	1	-	43996482	44031386
KLF17	1	+	44118849	44135140
KLF18	1	-	44137820	44141631
DMAP1	1	+	44213490	44220681
ERI3	1	-	44221069	44355208
RNF220	1	+	44405287	44651724
TMEM53	1	-	44653246	44674555
C1orf228	1	+	44674721	44725591
KIF2C	1	+	44739819	44767767
RPS8	1	+	44775436	44778779
BEST4	1	-	44783584	44787705
PLK3	1	+	44800224	44805990
TCTEX1D4	1	-	44805912	44806675
BTBD19	1	+	44808481	44814129
PTCH2	1	-	44821932	44843063
EIF2B3	1	-	44850777	44986610
HECTD3	1	-	45002539	45011329
UROD	1	+	45012146	45015575
ZSWIM5	1	-	45016398	45206556
HPDL	1	+	45326904	45328533
MUTYH	1	-	45329241	45340388
TOE1	1	+	45339669	45343975
TESK2	1	-	45343882	45491166
CCDC163P	1	-	45494908	45499974
MMACHC	1	+	45500052	45513382
PRDX1	1	-	45511046	45521956
AKR1A1	1	+	45551066	45570049
NASP	1	+	45584059	45618894
CCDC17	1	-	45620110	45624057
GPBP1L1	1	-	45627305	45686630
TMEM69	1	+	45687213	45694443
IPP	1	-	45698710	45750649
MAST2	1	+	45803612	46036124
PIK3R3	1	-	46043660	46176488
TSPAN1	1	+	46175086	46185958
RP11-322N21.2	1	-	46175485	46176478
POMGNT1	1	-	46188682	46198443
LURAP1	1	+	46203333	46221261
RAD54L	1	+	46247731	46278472
LRRC41	1	-	46278400	46303366
UQCRH	1	+	46303630	46316776
NSUN4	1	+	46340176	46362191
FAAH	1	+	46394264	46413845
DMBX1	1	+	46506996	46514226
RP11-49P4.7	1	-	46532165	46533614
KNCN	1	-	46547427	46551215
MKNK1	1	-	46557417	46604214
MOB3C	1	-	46607724	46616465
ATPAF1	1	-	46635040	46668427
TEX38	1	+	46671827	46673594
EFCAB14	1	-	46675158	46719064
CYP4B1	1	+	46799045	46819413
CYP4A11	1	-	46929176	46941465
CYP4X1	1	+	47023567	47050751
CYP4Z1	1	+	47067487	47118319
CYP4A22	1	+	47137454	47149741
PDZK1IP1	1	-	47183970	47191044
TAL1	1	-	47216291	47229771
STIL	1	-	47250138	47314147
CMPK1	1	+	47333796	47378839
FOXE3	1	+	47416071	47418052
FOXD2	1	+	47436016	47440691
TRABD2B	1	-	47760527	47996895
AL356289.1	1	+	48102067	48104707
SLC5A9	1	+	48222686	48248644
SPATA6	1	-	48295371	48472173
AGBL4	1	-	48532854	50023913
BEND5	1	-	48727522	48776918
ELAVL4	1	+	50109705	50202294
DMRTA2	1	-	50417549	50423500
FAF1	1	-	50437027	50960263
CDKN2C	1	+	50969943	50974558
C1orf185	1	+	51102233	51148086
RNF11	1	+	51236270	51273455
TTC39A	1	-	51287257	51322210
EPS15	1	-	51354262	51519328
OSBPL9	1	+	51617108	51788469
NRD1	1	-	51789190	51878805
RAB3B	1	-	51907955	51990764
TXNDC12	1	-	52020130	52056171
KTI12	1	-	52032102	52033816
BTF3L4	1	+	52056124	52090716
ZFYVE9	1	+	52216379	52346686
CC2D1B	1	-	52350592	52366193
ORC1	1	-	52372830	52404387
PRPF38A	1	+	52404563	52420839
ZCCHC11	1	-	52423274	52552982
GPX7	1	+	52602371	52609051
FAM159A	1	+	52633343	52657065
COA7	1	-	52684450	52698366
ZYG11B	1	+	52726508	52827342
ZYG11A	1	+	52842735	52894998
ECHDC2	1	-	52895983	52921767
SCP2	1	+	52927228	53051703
AL445183.1	1	-	53053623	53054949
PODN	1	+	53062212	53085502
SLC1A7	1	-	53087182	53142577
CPT2	1	+	53196428	53214197
C1orf123	1	-	53214098	53220617
MAGOH	1	-	53226891	53238610
LRP8	1	-	53242363	53328014
DMRTB1	1	+	53459398	53467488
GLIS1	1	-	53506236	53734204
NDC1	1	-	53765459	53838860
YIPF1	1	-	53851719	53889814
DIO1	1	+	53894186	53911086
HSPB11	1	-	53921560	53945929
LRRC42	1	+	53946352	53968168
LDLRAD1	1	-	54008832	54018130
TMEM59	1	-	54026680	54053438
TCEANC2	1	+	54053600	54106082
CDCP2	1	-	54138994	54153770
CYB5RL	1	-	54174418	54195616
MRPL37	1	+	54200166	54218383
SSBP3	1	-	54226631	54406419
ACOT11	1	+	54548227	54639192
FAM151A	1	-	54609181	54623556
MROH7	1	+	54641792	54710259
TTC4	1	+	54715821	54742657
PARS2	1	-	54756897	54764514
TTC22	1	-	54784550	54801198
LEXM	1	+	54806062	54842252
DHCR24	1	-	54849632	54887218
TMEM61	1	+	54980791	54992293
BSND	1	+	54998932	55010883
PCSK9	1	+	55039547	55064852
USP24	1	-	55066358	55215113
PLPP3	1	-	56494746	56579568
PRKAA2	1	+	56645321	56715335
C1orf168	1	-	56718803	56819371
C8A	1	+	56854805	56918221
C8B	1	-	56929209	56966015
DAB1	1	-	56994781	57291168
OMA1	1	-	58480718	58546800
TACSTD2	1	-	58575422	58577773
MYSM1	1	-	58654738	58700092
JUN	1	-	58780787	58784327
FGGY	1	+	59296990	59762730
HOOK1	1	+	59814860	59876378
CYP2J2	1	-	59893307	59926790
C1orf87	1	-	59990393	60073770
NFIA	1	+	61082307	61462793
TM2D1	1	-	61681045	61725141
INADL	1	+	61742476	62163920
L1TD1	1	+	62194830	62212328
KANK4	1	-	62236978	62319414
USP1	1	+	62436654	62451804
DOCK7	1	-	62455012	62688264
ANGPTL3	1	+	62597486	62606159
ATG4C	1	+	62784134	62865513
FOXD3	1	+	63323040	63325126
ALG6	1	+	63367589	63438562
ITGB3BP	1	-	63440772	63523215
EFCAB7	1	+	63523389	63572693
PGM1	1	+	63593275	63660245
ROR1	1	+	63774042	64181498
UBE2U	1	+	64203806	64244344
CACHD1	1	+	64470791	64693058
RAVER2	1	+	64745094	64833232
JAK1	1	-	64833228	64966504
AK4	1	+	65148202	65232136
DNAJC6	1	+	65264753	65415869
LEPROT	1	+	65420586	65436007
LEPR	1	+	65420651	65641559
PDE4B	1	+	65992421	66374573
SGIP1	1	+	66534281	66748299
TCTEX1D1	1	+	66752459	66778787
INSL5	1	-	66797740	66801256
WDR78	1	-	66812884	66924887
MIER1	1	+	66930242	66988030
SLC35D1	1	-	66999331	67054099
C1orf141	1	-	67092175	67127261
