#NAME	CHROM	STRAND	TX_START	TX_END
TNFSF18	1	-	173009099	173020103
TNN	1	+	175036993	175117202
BRINP2	1	+	177140632	177251558
RASAL2	1	+	178063275	178442557
SOAT1	1	+	179262936	179327815
ACBD6	1	-	180257364	180472089
RGSL1	1	+	182419280	182529693
SMG7	1	+	183441636	183523321
PTGS2	1	-	186640922	186649559
ZBTB41	1	-	197122809	197169672
NEK7	1	+	198126092	198291550
PPP1R12B	1	+	202317826	202561834
HHAT	1	+	210501595	210849638
BATF3	1	-	212859759	212873327
USH2A	1	-	215796235	216596738
ESRRG	1	-	216676587	217262987
EPRS	1	-	220141942	220220000
DNAH14	1	+	225117355	225586971
TRIM11	1	-	228581376	228594541
NUP133	1	-	229576006	229644088
LYST	1	-	235824340	236030220
MTR	1	+	236958609	237067281
RGS7	1	-	240938814	241520530
KIF26B	1	+	245318286	245866428
SMYD3	1	-	245912643	246670559
ZNF496	1	-	247460713	247495045
OR14C36	1	+	248512076	248513015
FAM132A	1	-	1177832	1182102
AURKAIP1	1	-	1309109	1310875
MMP23B	1	+	1567559	1633249
CDK11B	1	-	1570948	1590473
NADK	1	-	1682670	1709909
SKI	1	+	2160133	2241558
TNFRSF14	1	+	2487804	2495268
TTC34	1	-	2567414	2706320
MEGF6	1	-	3406489	3528059
CCDC27	1	+	3668961	3688208
DFFB	1	+	3773844	3801993
AJAP1	1	+	4714791	4837854
NPHP4	1	-	5922877	6052531
KCNAB2	1	+	6052422	6161253
ACOT7	1	-	6324332	6445873
PER3	1	+	7844762	7905237
TNFRSF9	1	-	7975953	8003225
RERE	1	-	8412456	8877524
GPR157	1	-	9160363	9189229
H6PD	1	+	9294833	9331396
CLSTN1	1	-	9789085	9884042
CTNNBIP1	1	-	9908333	9970321
UBE4B	1	+	10092889	10240425
KIF1B	1	+	10270862	10437995
PEX14	1	+	10534943	10690815
CASZ1	1	-	10696660	10856705
C1orf127	1	-	11006529	11042094
EXOSC10	1	-	11126674	11159926
MTOR	1	-	11166591	11322564
AGTRAP	1	+	11796211	11810822
MFN2	1	+	12040237	12073571
TNFRSF8	1	+	12123433	12204264
VPS13D	1	+	12290123	12572099
AADACL4	1	+	12704565	12727097
HNRNPCL1	1	-	12907229	13007404
KAZN	1	+	14925199	15444539
FHAD1	1	+	15573767	15724622
DNAJC16	1	+	15853307	15898228
DDI2	1	+	15943994	15995539
SPEN	1	+	16174358	16266955
FBXO42	1	-	16573333	16678949
NBPF1	1	-	16888813	16939982
MFAP2	1	-	17300996	17304771
PADI2	1	-	17393255	17445930
PADI1	1	+	17531620	17572500
ARHGEF10L	1	+	17866329	18024364
ACTL8	1	+	18081807	18153558
IGSF21	1	+	18434239	18704976
PAX7	1	+	18958014	19075360
IFFO2	1	-	19230774	19283180
UBR4	1	-	19400999	19536770
CAPZB	1	-	19666023	19811971
TMCO4	1	-	20008705	20126410
HP1BP3	1	-	21069153	21113181
EIF4G3	1	-	21132962	21377487
ALPL	1	+	21835864	21904905
LDLRAD2	1	+	22138757	22151714
HSPG2	1	-	22148737	22263790
CDC42	1	+	22379119	22419416
ZBTB40	1	+	22778343	22857650
LUZP1	1	-	23410515	23495351
TCEA3	1	-	23707553	23751233
E2F2	1	-	23832921	23857712
IFNLR1	1	-	24480646	24513751
NIPAL3	1	+	24742283	24795797
NCMAP	1	+	24882601	24935816
RHCE	1	-	25688739	25747336
TMEM57	1	+	25757410	25826700
MAN1C1	1	+	25943958	26112698
SH3BGRL3	1	+	26605666	26608013
LIN28A	1	+	26737268	26756213
RPS6KA1	1	+	26856257	26901516
TMEM222	1	+	27648635	27662890
WASF2	1	-	27730729	27816669
AHDC1	1	-	27860545	27930102
RCC1	1	+	28832454	28865708
TAF12	1	-	28929361	28969578
SRSF4	1	-	29474254	29508499
PTPRU	1	+	29563027	29652173
MATN1	1	-	31184123	31196434
PTP4A2	1	-	32372021	32385084
KPNA6	1	+	32573638	32642169
HDAC1	1	+	32757686	32799236
RP1-27O5.3	1	+	32930657	33066393
ZBTB8A	1	+	33005027	33071540
SYNC	1	-	33145960	33168720
S100PBP	1	+	33283042	33323455
RNF19B	1	-	33402045	33430286
PHC2	1	-	33789226	33841194
ZSCAN20	1	+	33938245	33962107
DLGAP3	1	-	35331036	35395186
ZMYM4	1	+	35734567	35887545
KIAA0319L	1	-	35899090	36023014
TFAP2E	1	+	36038970	36060929
AGO4	1	+	36273772	36323491
AGO3	1	+	36396678	36538101
COL8A2	1	-	36560836	36590821
STK40	1	-	36805224	36851485
GRIK3	1	-	37261127	37499726
SNIP1	1	-	38000049	38019903
YRDC	1	-	38268615	38273857
INPP5B	1	-	38327756	38412723
RRAGC	1	-	39303869	39325495
BMP8A	1	+	39957317	39991607
BMP8B	1	-	40222853	40254533
RLF	1	+	40627044	40706593
KCNQ4	1	+	41249683	41306124
SCMH1	1	-	41492871	41618346
HIVEP3	1	-	41972035	42384169
FOXJ3	1	-	42642209	42800636
RIMKLA	1	+	42846476	42888249
CFAP57	1	+	43638000	43720026
TIE1	1	+	43766663	43788779
SZT2	1	+	43855639	43918304
ST3GAL3	1	+	44173217	44396831
IPO13	1	+	44412610	44433694
ERI3	1	-	44686741	44820880
KIF2C	1	+	45205491	45233439
EIF2B3	1	-	45316449	45452282
ZSWIM5	1	-	45482070	45672228
TESK2	1	-	45809554	45956838
MAST2	1	+	46269284	46501796
PIK3R3	1	-	46505811	46598314
POMGNT1	1	-	46654354	46664115
MKNK1	1	-	47023089	47069886
CYP4Z1	1	+	47533159	47583991
CMPK1	1	+	47799468	47844511
SPATA6	1	-	48761043	48937845
ELAVL4	1	+	50575377	50667966
TTC39A	1	-	51752929	51787882
EPS15	1	-	51819934	51985000
OSBPL9	1	+	52082780	52254141
NRD1	1	-	52254862	52344477
ZFYVE9	1	+	52607765	52812357
CC2D1B	1	-	52816264	52831865
ZCCHC11	1	-	52888946	53018654
ZYG11B	1	+	53192180	53293014
ZYG11A	1	+	53308407	53360670
LRP8	1	-	53708035	53793686
GLIS1	1	-	53971909	54199877
NDC1	1	-	54231132	54304533
HSPB11	1	-	54387233	54411602
RP11-446E24.4	1	-	54609064	54665746
CYB5RL	1	-	54640091	54661289
SSBP3	1	-	54692304	54872092
ACOT11	1	+	55013900	55104865
MROH7-TTC4	1	+	55107472	55207904
PLPP3	1	-	56960418	57045241
PRKAA2	1	+	57110994	57181008
C1orf168	1	-	57184476	57285044
C8B	1	-	57394882	57431688
OMA1	1	-	58946390	59012472
HOOK1	1	+	60280532	60342050
INADL	1	+	62208148	62629592
KANK4	1	-	62702650	62785085
DOCK7	1	-	62920683	63153935
ATG4C	1	+	63249805	63331184
PGM1	1	+	64058946	64125916
ROR1	1	+	64239713	64647181
RAVER2	1	+	65210777	65298915
JAK1	1	-	65298911	65432187
AK4	1	+	65613231	65697828
DNAJC6	1	+	65730436	65881552
PDE4B	1	+	66458104	66840256
TCTEX1D1	1	+	67218142	67244470
WDR78	1	-	67278567	67390570
SLC35D1	1	-	67465014	67519782
C1orf141	1	-	67557847	67697535
IL23R	1	+	67632082	67725662
SERBP1	1	-	67873492	67896098
GNG12	1	-	68167148	68299150
WLS	1	-	68591040	68698236
DEPDC1	1	-	68939834	68962904
LRRC40	1	-	70610487	70671303
ANKRD13C	1	-	70726270	70820405
PTGER3	1	-	71418114	71513471
LRRIQ3	1	-	74491698	74649368
FPGT-TNNI3K	1	+	74663918	75009666
TNNI3K	1	+	74701084	75010108
LRRC53	1	-	74935561	74978298
ERICH3	1	-	75033794	75139422
SLC44A5	1	-	75670159	76076769
MSH4	1	+	76262566	76378923
ST6GALNAC5	1	+	77333125	77531396
AK5	1	+	77747735	78025654
ZZZ3	1	-	78030184	78148343
FAM73A	1	+	78245308	78344106
NEXN	1	+	78354312	78408909
GIPC2	1	+	78511585	78604133
PTGFR	1	+	78769567	79005434
ADGRL4	1	-	79355448	79472403
TTLL7	1	-	84330710	84464815
PRKACB	1	+	84609953	84704181
SAMD13	1	+	84764048	84816481
LPAR3	1	-	85277284	85331842
MCOLN2	1	-	85391265	85462623
WDR63	1	+	85528003	85598820
C1orf52	1	-	85717650	85725325
DDAH1	1	-	85784167	85930823
COL24A1	1	-	86194915	86622446
CLCA2	1	+	86889768	86922241
HS2ST1	1	+	87380356	87575681
RP5-1052I5.2	1	+	87458691	87634887
PKN2	1	+	89149904	89301938
GBP1	1	-	89518001	89531043
GBP4	1	-	89646830	89664615
LRRC8B	1	+	89990461	90063423
LRRC8D	1	+	90286590	90402170
HFM1	1	-	91726322	91870426
RPAP2	1	+	92764521	92867613
EVI5	1	-	92974252	93257961
MTF2	1	+	93544794	93604638
CCDC18	1	+	93645475	93744034
FNBP1L	1	+	93913687	94020216
BCAR3	1	-	94027347	94147385
ABCA4	1	-	94458392	94586688
ABCD3	1	+	94884010	94984219
SLC44A3	1	+	95285905	95360802
TMEM56-RWDD3	1	+	95583478	95710511
PTBP2	1	+	97187377	97280349
DPYD	1	-	97543298	98386579
SNX7	1	+	99127278	99226056
PLPPR4	1	+	99729508	99775146
PALMD	1	+	100111498	100160097
HIAT1	1	+	100503652	100548933
CDC14A	1	+	100818046	100965016
VCAM1	1	+	101185315	101204601
OLFM3	1	-	102268129	102462586
COL11A1	1	-	103342022	103574047
RNPC3	1	+	104068320	104097734
AMY1A	1	+	104198376	104207176
VAV3	1	-	108113781	108507766
STXBP3	1	+	109289309	109352148
RP11-475E11.9	1	-	109380281	109506106
GPSM2	1	+	109417971	109477167
WDR47	1	-	109512835	109584735
KIAA1324	1	+	109656622	109745851
MYBPHL	1	-	109834986	109849663
GSTM1	1	+	110230441	110236367
KCNC4	1	+	110754094	110791746
DRAM2	1	-	111659954	111682662
KCND3	1	-	112313283	112525418
CTTNBP2NL	1	+	112938802	113003786
ST7L	1	-	113084411	113161811
LRIG2	1	+	113615830	113674882
MAGI3	1	+	113933593	114228545
BCL2L15	1	-	114423324	114430169
SYT6	1	-	114636380	114696541
TRIM33	1	-	114935398	115053781
DENND2C	1	-	115125468	115212732
SYCP1	1	+	115397423	115537991
TSPAN2	1	-	115590631	115632085
NGF	1	-	115828538	115880857
CASQ2	1	-	116242627	116311402
SLC22A15	1	+	116519118	116612675
ATP1A1	1	+	116915881	116947396
AL136376.1	1	-	116915889	116926718
IGSF3	1	-	117117020	117210377
CD2	1	+	117297006	117311850
CD101	1	+	117544371	117576872
MAN1A2	1	+	117910070	118071494
SPAG17	1	-	118496486	118727846
WARS2	1	-	119573843	119683294
HAO2	1	+	119911401	119936751
FAM72B	1	+	120839004	120855681
AL592284.1	1	+	144339737	144521058
PDE4DIP	1	-	144851426	144995022
NOTCH2NL	1	+	145209118	145282832
RP11-458D21.5	1	+	145209144	145318987
NBPF10	1	+	145293370	145368684
CH17-270A2.2	1	-	145457275	145507835
LIX1L	1	+	145477084	145501670
RNF115	1	+	145611035	145696218
NBPF12	1	+	146374055	146467744
FMO5	1	-	146657837	146697230
BCL9	1	+	147013181	147098017
GPR89B	1	+	147400505	147465571
PPIAL4C	1	+	149553002	149553787
VPS45	1	+	150039368	150117505
RPRD2	1	+	150337186	150446032
TARS2	1	+	150459892	150480078
ENSA	1	-	150593726	150602072
CTSS	1	-	150702671	150738433
ZNF687	1	+	151254787	151264379
POGZ	1	-	151375199	151431941
TUFT1	1	+	151512780	151556059
SNX27	1	+	151584557	151671567
RORC	1	-	151779432	151804348
CHTOP	1	+	153606524	153618782
GATAD2B	1	-	153777200	153895451
NUP210L	1	-	153965160	154127592
IL6R	1	+	154377668	154441926
KCNN3	1	-	154669930	154842756
PBXIP1	1	-	154916555	154928580
RP11-540D14.8	1	+	155036223	155059283
EFNA3	1	+	155051347	155060014
ASH1L	1	-	155305845	155532323
MSTO1	1	+	155580015	155584758
SYT11	1	+	155829299	155854990
LMNA	1	+	156084497	156109880
IQGAP3	1	-	156495196	156542332
PRCC	1	+	156737291	156770609
LRRC71	1	+	156890441	156902886
FCRL4	1	-	157543538	157567870
CD5L	1	-	157800703	157811588
SPTA1	1	-	158580495	158656488
IFI16	1	+	158979681	159024945
FCRL6	1	+	159772213	159785451
IGSF9	1	-	159896828	159915386
KCNJ10	1	-	160007256	160040038
CASQ1	1	+	160160345	160171676
COPA	1	-	160259062	160313190
CD244	1	-	160799949	160832645
PFDN2	1	-	161070345	161087901
ATF6	1	+	161736083	161933860
NOS1AP	1	+	162039565	162340265
DDR2	1	+	162602254	162757190
NUF2	1	+	163291724	163325554
LMX1A	1	-	165171103	165325952
RXRG	1	-	165370153	165414433
UCK2	1	+	165796767	165877346
FAM78B	1	-	166039255	166135952
MAEL	1	+	166958345	166991451
POU2F1	1	+	167190065	167396582
RCSD1	1	+	167599329	167675486
MPC2	1	-	167885966	167905278
DCAF6	1	+	167905898	168045081
TIPRL	1	+	168148170	168171352
DPT	1	-	168664696	168698502
ATP1B1	1	+	169074934	169101960
NME7	1	-	169101768	169337205
BLZF1	1	+	169337207	169357543
KIFAP3	1	-	169890466	170043836
METTL11B	1	+	170115141	170136931
PRRX1	1	+	170633046	170708560
FMO2	1	+	171154346	171180369
FMO4	1	+	171283372	171311223
VAMP4	1	-	171669299	171711387
SLC9C2	1	-	173469602	173572233
DARS2	1	+	173793640	173827684
RC3H1	1	-	173900351	173962202
RABGAP1L	1	+	174128654	174927319
TNR	1	-	175284329	175712906
PAPPA2	1	+	176432306	176814741
ASTN1	1	-	176830202	177133826
RALGPS2	1	+	178694299	178889238
FAM20B	1	+	178995030	179045697
ABL2	1	-	179068461	179198736
AXDND1	1	+	179334854	179523870
TDRD5	1	+	179560747	179660405
TOR1AIP2	1	-	179828164	179846934
CEP350	1	+	179923872	180084015
LHX4	1	+	180199420	180248117
XPR1	1	+	180601139	180859387
MR1	1	+	181002560	181031074
CACNA1E	1	+	181452715	181770716
DHX9	1	+	182808503	182856886
LAMC1	1	+	182992594	183114727
NMNAT2	1	-	183217371	183387737
RGL1	1	+	183605219	183897665
TSEN15	1	+	184020810	184043346
EDEM3	1	-	184659364	184724047
FAM129A	1	-	184760163	184943682
SWT1	1	+	185126211	185260139
HMCN1	1	+	185703682	186160081
C1orf27	1	+	186345000	186390510
PLA2G4A	1	+	186798084	186958113
BRINP3	1	-	190066791	190447012
RGS18	1	+	192127586	192154945
GLRX2	1	-	193065597	193075244
CDC73	1	+	193091146	193223031
KCNT2	1	-	196197268	196578355
RP4-608O15.3	1	+	196788874	196928340
CFHR4	1	+	196857143	196887843
CRB1	1	+	197237407	197447585
DENND1B	1	-	197521384	197744455
PTPRC	1	+	198608169	198726412
NR5A2	1	+	199996729	200146552
KIF14	1	-	200520624	200587851
CAMSAP2	1	+	200708685	200829832
CACNA1S	1	-	201008641	201081694
IGFN1	1	+	201159952	201198080
CSRP1	1	-	201452657	201478584
NAV1	1	+	201617376	201796097
IPO9	1	+	201798268	201853422
ELF3	1	+	201977072	201985137
ARL8A	1	-	202102531	202113869
LGR6	1	+	202163028	202288909
SYT2	1	-	202559723	202679545
KDM5B	1	-	202693618	202778598
PPFIA4	1	+	202995625	203047864
ATP2B4	1	+	203595688	203713209
ZC3H11A	1	+	203764798	203821548
SOX13	1	+	204042731	204096871
PLEKHA6	1	-	204187978	204329044
LRRN2	1	-	204586297	204654481
NFASC	1	+	204797781	204991949
DSTYK	1	-	205111632	205180694
LEMD1	1	-	205350505	205391182
RASSF5	1	+	206680862	206761044
FCMR	1	-	207077730	207095343
CR1	1	+	207669612	207812754
CR1L	1	+	207818518	207897048
PLXNA2	1	-	208195586	208417665
IRF6	1	-	209959035	209979389
SYT14	1	+	210111595	210335671
KCNH1	1	-	210851656	211307315
LPGAT1	1	-	211916798	212004114
INTS7	1	-	212113742	212208884
PPP2R5A	1	+	212458878	212535205
RPS6KC1	1	+	213224596	213448116
PROX1	1	+	214161277	214214845
PTPN14	1	-	214522038	214724566
CENPF	1	+	214776537	214837931
KCNK2	1	+	215256466	215408560
KCTD3	1	+	215740734	215795149
GPATCH2	1	-	217600333	217804424
SPATA17	1	+	217804665	218045038
RRP15	1	+	218458628	218511325
RAB3GAP2	1	-	220321634	220445796
MARK1	1	+	220701898	220835800
MARC1	1	+	220960100	220992999
DUSP10	1	-	221874765	221915518
MIA3	1	+	222791427	222841354
SUSD4	1	-	223394160	223537401
CAPN8	1	-	223714971	223853436
TP53BP2	1	-	223967600	224033674
CNIH3	1	+	224803994	224928251
ENAH	1	-	225674536	225840844
SRP9	1	+	225965530	225978168
RP4-559A3.7	1	-	226074395	226111978
ACBD3	1	-	226332379	226374431
C1orf95	1	+	226736500	226796915
ITPKB	1	-	226819390	226925159
ADCK3	1	+	227085236	227175246
CDC42BPA	1	-	227177565	227506175
ZNF678	1	+	227751243	227850162
SNAP47	1	+	227922696	227968927
WNT3A	1	+	228194751	228248961
OBSCN	1	+	228395830	228566575
URB2	1	+	229761980	229795946
GALNT2	1	+	230202955	230417870
COG2	1	+	230778237	230829728
TTC13	1	-	231041988	231114584
TRIM67	1	+	231298715	231352770
EXOC8	1	-	231468498	231473598
DISC1	1	+	231762560	231991126
SIPA1L2	1	-	232533710	232697304
PCNXL2	1	-	233119180	233431459
SLC35F3	1	+	234040678	234460262
TOMM20	1	-	235272650	235292251
ARID4B	1	-	235330209	235490802
TBCE	1	+	235530674	235612281
B3GALNT2	1	-	235613237	235667781
GNG4	1	-	235710986	235813293
NID1	1	-	236139129	236228462
GPR137B	1	+	236305831	236372209
EDARADD	1	+	236557577	236645992
LGALS8	1	+	236681572	236716281
HEATR1	1	-	236712304	236767804
RYR2	1	+	237205504	237997288
CHRM3	1	+	239792372	240078752
FMN2	1	+	240255179	240638489
KMO	1	+	241695433	241758944
WDR64	1	+	241815579	241965435
PLD5	1	-	242246287	242687820
CEP170	1	-	243287729	243418352
SDCCAG8	1	+	243419357	243663394
AKT3	1	-	243663021	244006584
ADSS	1	-	244571795	244615436
C1orf101	1	+	244624689	244803662
DESI2	1	+	244816236	244872335
EFCAB2	1	+	245133170	245251141
CNST	1	+	246729747	246831886
AHCTF1	1	-	247002399	247094726
ZNF670	1	-	247200085	247242057
ZNF124	1	-	247319721	247335269
NLRP3	1	+	247579457	247612410
GCSAML	1	+	247670359	247740992
OR2L13	1	+	248100492	248264223
OR4F5	1	+	69090	70008
AL627309.1	1	-	134900	139379
OR4F29	1	+	367639	368634
OR4F16	1	-	621095	622034
AL669831.1	1	-	738531	739137
AL645608.2	1	+	818042	819983
SAMD11	1	+	861117	879955
AL645608.1	1	-	861263	866445
NOC2L	1	-	879583	894670
KLHL17	1	+	895966	901095
PLEKHN1	1	+	901876	910488
PERM1	1	-	910584	916409
HES4	1	-	934343	935491
ISG15	1	+	948802	949920
AGRN	1	+	955502	991496
RNF223	1	-	1006345	1009687
TTLL10	1	+	1109282	1133315
TNFRSF18	1	-	1138887	1141951
TNFRSF4	1	-	1146705	1149512
SDF4	1	-	1152310	1167411
B3GALT6	1	+	1167644	1170421
UBE2J2	1	-	1189849	1209265
SCNN1D	1	+	1215815	1227399
ACAP3	1	-	1227755	1243398
PUSL1	1	+	1243946	1247057
CPSF3L	1	-	1246976	1260071
CPTP	1	+	1260146	1264277
TAS1R3	1	+	1266693	1270686
DVL1	1	-	1270655	1284730
MXRA8	1	-	1288070	1293915
CCNL2	1	-	1321874	1334692
MRPL20	1	-	1337287	1342693
ANKRD65	1	-	1353801	1356824
TMEM88B	1	+	1361507	1363167
VWA1	1	+	1371050	1378262
ATAD3C	1	+	1385068	1405538
ATAD3B	1	+	1407148	1431582
ATAD3A	1	+	1447530	1470065
TMEM240	1	-	1470553	1475737
SSU72	1	-	1477052	1510249
C1orf233	1	-	1533391	1535476
MIB2	1	+	1550822	1565985
SLC35E2B	1	-	1592938	1624083
CDK11A	1	-	1634319	1655763
SLC35E2	1	-	1663680	1677431
GNB1	1	-	1716723	1822556
CALML6	1	+	1846265	1848733
TMEM52	1	-	1849029	1850712
CFAP74	1	-	1853389	1935276
GABRD	1	+	1950762	1962190
FAAP20	1	-	2120986	2126213
AL590822.2	1	+	2121236	2123179
AL590822.1	1	-	2143359	2145620
MORN1	1	-	2252691	2323146
AL589739.1	1	+	2258580	2259042
RER1	1	+	2323271	2336883
PEX10	1	-	2336257	2344010
PLCH2	1	+	2407753	2436964
PANK4	1	-	2439971	2458067
HES5	1	-	2460183	2461684
FAM213B	1	+	2518213	2522907
MMEL1	1	-	2522081	2564429
ACTRT2	1	+	2938046	2939467
ARHGEF16	1	+	3370989	3397677
TPRG1L	1	+	3541565	3546691
WRAP73	1	-	3547330	3566637
TP73	1	+	3569083	3652765
SMIM1	1	+	3689351	3692546
LRRC47	1	-	3695121	3713068
CEP104	1	-	3728644	3773763
C1orf174	1	-	3805688	3816849
AL035406.1	1	-	6100629	6101399
CHD5	1	-	6161852	6240183
RPL22	1	-	6245079	6259672
RNF207	1	+	6266235	6281359
HES3	1	+	6304251	6305638
GPR153	1	-	6307405	6321035
HES2	1	-	6475291	6479979
ESPN	1	+	6484847	6521004
TNFRSF25	1	-	6521210	6526235
PLEKHG5	1	-	6526151	6546014
NOL9	1	-	6581406	6614595
TAS1R1	1	+	6615240	6639817
ZBTB48	1	+	6640107	6649340
KLHL21	1	-	6650783	6662929
PHF13	1	+	6673744	6684093
THAP3	1	+	6685251	6695646
DNAJC11	1	-	6694227	6761984
VAMP3	1	+	7831328	7841492
UTS2	1	-	7907825	7913491
PARK7	1	+	8021722	8045339
ERRFI1	1	-	8071778	8086368
ENO1	1	-	8921060	8938749
CA6	1	+	9005941	9035151
SLC2A7	1	-	9063358	9086404
SLC2A5	1	-	9095165	9129775
SPSB1	1	+	9352938	9429591
SLC25A33	1	+	9599540	9645237
TMEM201	1	+	9648979	9674907
PIK3CD	1	+	9711802	9788977
LZIC	1	-	9988996	10003387
NMNAT1	1	+	10003485	10045556
RBP7	1	+	10057273	10076078
PGD	1	+	10459136	10480201
APITD1-CORT	1	+	10490158	10512210
APITD1	1	+	10490499	10502866
CORT	1	+	10509775	10511959
DFFA	1	-	10516578	10532583
TARDBP	1	+	11072456	11086477
MASP2	1	-	11086579	11107280
SRM	1	-	11114645	11120081
ANGPTL7	1	+	11249397	11256038
UBIAD1	1	+	11333262	11348491
PTCHD2	1	+	11539294	11597641
FBXO2	1	-	11708423	11714739
FBXO44	1	+	11714913	11723384
FBXO6	1	+	11724180	11734411
MAD2L2	1	-	11734536	11751707
DRAXIN	1	+	11751785	11785914
C1orf167	1	+	11821843	11849641
MTHFR	1	-	11845779	11863302
CLCN6	1	+	11866267	11903201
NPPA	1	-	11905765	11907840
NPPB	1	-	11917520	11918988
KIAA2013	1	-	11979647	11986480
PLOD1	1	+	11994809	12035594
MIIP	1	+	12079522	12092102
TNFRSF1B	1	+	12227059	12269285
DHRS3	1	-	12627938	12677737
AADACL3	1	+	12776145	12788367
C1orf158	1	+	12806162	12823847
PRAMEF12	1	+	12834983	12838049
PRAMEF1	1	+	12851545	12856777
PRAMEF11	1	-	12884467	12891264
PRAMEF2	1	+	12916940	12921764
PRAMEF4	1	-	12939044	12946025
PRAMEF10	1	-	12952726	12958101
PRAMEF7	1	+	12976429	12980302
PRAMEF6	1	-	12998301	13005246
PRAMEF22	1	+	13035542	13038381
WI2-3308P17.2	1	-	13052393	13052998
HNRNPCL2	1	-	13182967	13184326
HNRNPCL4	1	-	13182990	13183872
PRAMEF26	1	-	13216355	13219581
PRAMEF5	1	+	13359818	13369057
PRAMEF8	1	-	13386645	13390765
PRAMEF9	1	+	13421175	13428191
PRAMEF18	1	-	13474688	13477522
PRAMEF16	1	+	13495253	13498260
PRAMEF21	1	+	13516065	13526943
PRAMEF15	1	+	13641972	13648988
PRAMEF14	1	-	13668742	13673511
PRAMEF19	1	-	13695524	13698151
PRAMEF17	1	+	13716091	13719089
PRAMEF20	1	+	13736906	13747803
LRRC38	1	-	13801444	13840543
PDPN	1	+	13909959	13944452
PRDM2	1	+	14031349	14151574
TMEM51	1	+	15479027	15546973
EFHD2	1	+	15736390	15756839
CTRC	1	+	15764934	15773149
CELA2A	1	+	15783223	15798586
CELA2B	1	+	15802595	15817895
CASP9	1	-	15818764	15850790
AGMAT	1	-	15898847	15911605
RSC1A1	1	+	15986363	15988217
PLEKHM2	1	+	16010826	16061264
SLC25A34	1	+	16062899	16067891
TMEM82	1	+	16068916	16074477
FBLIM1	1	+	16083153	16113089
UQCRHL	1	-	16133663	16135843
ZBTB17	1	-	16268363	16302621
C1orf64	1	+	16330730	16335302
HSPB7	1	-	16340522	16345285
CLCNKA	1	+	16348546	16360545
CLCNKB	1	+	16370271	16383803
FAM131C	1	-	16384263	16400121
EPHA2	1	-	16450831	16482582
ARHGEF19	1	-	16524598	16539104
C1orf134	1	-	16555367	16556038
RSG1	1	-	16558194	16563657
SZRD1	1	+	16693577	16724637
SPATA21	1	-	16725137	16763919
AL355149.2	1	+	16865560	16866070
FAM231A	1	+	16999497	17000007
FAM231C	1	-	17060445	17060956
AL021920.2	1	-	17060446	17060956
CROCC	1	+	17248444	17299474
ATP13A2	1	-	17312452	17338267
SDHB	1	-	17345216	17380665
PADI3	1	+	17575592	17610728
PADI4	1	+	17634691	17690499
AC004824.2	1	-	17655506	17676070
